gender,race/ethnicity,parental level of education,math score,reading score,writing score,percentage,grade,extracurricular activities,ielts,financial sponsorship,visa eligible
male,group D,some college,58,59,58,58.33333333,C,multiple,6.7,family-sponsored,yes
female,group C,some high school,0,17,10,9,F,sports,7.2,family-sponsored,no
male,group E,bachelor's degree,79,74,72,75,B,sports,7.1,scholarship,yes
male,group A,some high school,39,39,34,37.33333333,F,none,5.6,government-funded,no
male,group A,associate's degree,62,61,55,59.33333333,C,sports,5.2,government-funded,no
female,group C,associate's degree,69,80,71,73.33333333,C,volunteering,5.8,scholarship,no
female,group D,some high school,59,58,59,58.66666667,C,multiple,7.7,government-funded,no
male,group B,some high school,67,64,61,64,C,arts,5,scholarship,no
male,group D,some high school,45,37,37,39.66666667,F,multiple,8.3,self-funded,no
female,group C,some college,60,72,74,68.66666667,C,sports,7.3,scholarship,no
male,group B,associate's degree,61,58,56,58.33333333,C,multiple,7.7,scholarship,no
female,group C,associate's degree,39,64,57,53.33333333,C,sports,7.9,self-funded,no
female,group D,some college,58,63,73,64.66666667,C,volunteering,5.6,self-funded,yes
male,group D,some college,63,55,63,60.33333333,C,sports,8.4,self-funded,yes
female,group A,associate's degree,41,51,48,46.66666667,F,sports,8.8,scholarship,no
male,group C,some high school,61,57,56,58,C,arts,5.6,government-funded,no
male,group C,some high school,49,49,41,46.33333333,F,volunteering,7.1,scholarship,no
male,group B,associate's degree,44,41,38,41,F,arts,7.1,self-funded,no
male,group E,some high school,30,26,22,26,F,none,6.7,government-funded,no
male,group A,bachelor's degree,80,78,81,79.66666667,B,arts,8,self-funded,yes
female,group D,some high school,61,74,72,69,C,arts,6.3,self-funded,yes
female,group E,master's degree,62,68,68,66,C,volunteering,7.1,family-sponsored,no
female,group B,associate's degree,47,49,50,48.66666667,F,volunteering,7.4,self-funded,no
male,group B,high school,49,45,45,46.33333333,F,sports,6.9,family-sponsored,no
male,group A,some college,50,47,54,50.33333333,C,volunteering,7.5,family-sponsored,yes
male,group E,associate's degree,72,64,63,66.33333333,C,sports,7.5,self-funded,no
male,group D,high school,42,39,34,38.33333333,F,multiple,8,government-funded,no
female,group C,some college,73,80,82,78.33333333,B,sports,9,government-funded,no
female,group C,some college,76,83,88,82.33333333,B,none,8.8,scholarship,no
female,group D,associate's degree,71,71,74,72,C,none,7.8,government-funded,no
female,group A,some college,58,70,67,65,C,sports,9,scholarship,no
female,group D,some high school,73,86,82,80.33333333,B,volunteering,9,scholarship,no
female,group C,bachelor's degree,65,72,74,70.33333333,C,arts,5.2,government-funded,no
male,group C,high school,27,34,36,32.33333333,F,multiple,8,self-funded,no
male,group C,high school,71,79,71,73.66666667,C,multiple,6.6,scholarship,no
male,group C,associate's degree,43,45,50,46,F,volunteering,6.3,self-funded,yes
female,group B,some college,79,86,92,85.66666667,B,sports,6.1,self-funded,no
male,group C,associate's degree,78,81,82,80.33333333,B,arts,7,family-sponsored,yes
male,group B,some high school,65,66,62,64.33333333,C,none,8.5,government-funded,yes
female,group E,some college,63,72,70,68.33333333,C,none,5.8,scholarship,yes
female,group D,some college,58,67,62,62.33333333,C,volunteering,5.3,self-funded,no
female,group D,bachelor's degree,65,67,62,64.66666667,C,sports,7.5,family-sponsored,no
male,group B,some college,79,67,67,71,C,sports,8.4,family-sponsored,no
male,group D,bachelor's degree,68,74,74,72,C,sports,8.2,scholarship,yes
female,group D,associate's degree,85,91,89,88.33333333,B,multiple,5.1,scholarship,no
male,group B,high school,60,44,47,50.33333333,C,arts,7.9,family-sponsored,yes
male,group C,some college,98,86,90,91.33333333,A,arts,8.6,family-sponsored,yes
female,group C,some college,58,67,72,65.66666667,C,none,8.4,scholarship,no
female,group D,master's degree,87,100,100,95.66666667,A,multiple,8.9,government-funded,no
male,group E,associate's degree,66,63,64,64.33333333,C,arts,5.8,self-funded,yes
female,group B,associate's degree,52,76,70,66,C,none,5.3,self-funded,no
female,group B,some high school,70,64,72,68.66666667,C,multiple,5,self-funded,no
female,group D,associate's degree,77,89,98,88,B,volunteering,8.6,family-sponsored,yes
male,group C,high school,62,55,49,55.33333333,C,none,8.3,family-sponsored,no
male,group A,associate's degree,54,53,47,51.33333333,C,none,9,scholarship,no
female,group D,some college,51,58,54,54.33333333,C,volunteering,8.6,self-funded,no
female,group E,bachelor's degree,99,100,100,99.66666667,A,multiple,7.7,government-funded,yes
male,group C,high school,84,77,74,78.33333333,B,none,7.7,scholarship,no
female,group B,bachelor's degree,75,85,82,80.66666667,B,sports,7,scholarship,no
female,group D,bachelor's degree,78,82,79,79.66666667,B,multiple,8.9,self-funded,no
female,group D,some high school,51,63,61,58.33333333,C,arts,7.2,government-funded,no
female,group C,some college,55,69,65,63,C,arts,7.3,family-sponsored,no
female,group C,bachelor's degree,79,92,89,86.66666667,B,none,7.8,family-sponsored,yes
male,group B,associate's degree,91,89,92,90.66666667,A,volunteering,8.2,family-sponsored,yes
female,group C,some college,88,93,93,91.33333333,A,volunteering,8.1,government-funded,yes
male,group D,high school,63,57,56,58.66666667,C,volunteering,8.8,family-sponsored,no
male,group E,some college,83,80,73,78.66666667,B,multiple,8.8,scholarship,no
female,group B,high school,87,95,86,89.33333333,B,none,5.1,family-sponsored,no
male,group B,some high school,72,68,67,69,C,none,5,government-funded,no
male,group D,some college,65,77,74,72,C,multiple,7,scholarship,yes
male,group D,master's degree,82,82,74,79.33333333,B,none,6.9,government-funded,no
female,group A,bachelor's degree,51,49,51,50.33333333,C,arts,8.4,government-funded,no
male,group D,master's degree,89,84,82,85,B,arts,5,family-sponsored,no
male,group C,some high school,53,37,40,43.33333333,F,none,5.1,family-sponsored,yes
male,group E,some college,87,74,70,77,B,sports,8.4,government-funded,yes
female,group C,some college,75,81,84,80,B,sports,6.9,self-funded,yes
male,group D,bachelor's degree,74,79,75,76,B,volunteering,8.6,scholarship,yes
male,group C,bachelor's degree,58,55,48,53.66666667,C,sports,7.1,self-funded,no
male,group B,some high school,51,54,41,48.66666667,F,arts,5.9,self-funded,yes
male,group E,high school,70,55,56,60.33333333,C,volunteering,5,scholarship,no
female,group C,associate's degree,59,66,67,64,C,sports,7.5,family-sponsored,no
male,group D,some college,71,61,69,67,C,volunteering,8.6,scholarship,yes
female,group D,some high school,76,72,71,73,C,volunteering,7.2,scholarship,no
female,group C,some college,59,62,64,61.66666667,C,volunteering,7.7,family-sponsored,no
female,group E,some college,42,55,54,50.33333333,C,arts,6.8,self-funded,yes
male,group A,high school,57,43,47,49,F,sports,8.4,self-funded,no
male,group D,some college,88,73,78,79.66666667,B,arts,6.9,government-funded,no
female,group C,some college,22,39,33,31.33333333,F,none,6,scholarship,no
male,group B,some high school,88,84,75,82.33333333,B,multiple,6.5,government-funded,no
male,group C,associate's degree,73,68,66,69,C,sports,5.8,self-funded,no
female,group D,bachelor's degree,68,75,81,74.66666667,C,arts,7.6,family-sponsored,yes
male,group E,associate's degree,100,100,93,97.66666667,A,sports,6.7,family-sponsored,yes
male,group A,some high school,62,67,69,66,C,multiple,7.4,self-funded,yes
male,group A,bachelor's degree,77,67,68,70.66666667,C,none,8.7,scholarship,no
female,group B,associate's degree,59,70,66,65,C,multiple,6.4,self-funded,yes
male,group D,bachelor's degree,54,49,47,50,C,volunteering,5.5,scholarship,no
male,group D,some high school,62,67,61,63.33333333,C,multiple,7.2,scholarship,no
female,group C,some college,70,89,88,82.33333333,B,multiple,8.4,family-sponsored,yes
female,group E,high school,66,74,78,72.66666667,C,multiple,8.6,scholarship,yes
male,group B,some college,60,60,60,60,C,volunteering,5,scholarship,no
female,group B,associate's degree,61,86,87,78,B,multiple,7,self-funded,yes
male,group D,associate's degree,66,62,64,64,C,arts,8.6,family-sponsored,no
male,group B,associate's degree,82,78,74,78,B,arts,6.3,government-funded,yes
female,group E,some college,75,88,85,82.66666667,B,none,8.7,scholarship,yes
male,group B,master's degree,49,53,52,51.33333333,C,multiple,8.1,family-sponsored,no
male,group C,high school,52,53,49,51.33333333,C,volunteering,6.4,government-funded,no
female,group E,master's degree,81,92,91,88,B,arts,7.7,family-sponsored,no
female,group C,bachelor's degree,96,100,100,98.66666667,A,arts,6.5,scholarship,yes
male,group C,high school,53,51,51,51.66666667,C,none,7.2,scholarship,yes
female,group B,master's degree,58,76,78,70.66666667,C,sports,8.8,scholarship,yes
female,group B,high school,68,83,78,76.33333333,B,volunteering,7.8,self-funded,yes
female,group C,some college,67,75,70,70.66666667,C,volunteering,7.9,self-funded,yes
male,group A,high school,72,73,74,73,C,arts,5.8,family-sponsored,yes
male,group E,some high school,94,88,78,86.66666667,B,none,5,self-funded,no
female,group D,some college,79,86,81,82,B,multiple,8.3,self-funded,no
female,group C,associate's degree,63,67,70,66.66666667,C,sports,7.1,scholarship,no
female,group C,bachelor's degree,43,51,54,49.33333333,F,arts,7.9,self-funded,yes
female,group C,master's degree,81,91,87,86.33333333,B,volunteering,8.4,government-funded,yes
female,group B,high school,46,54,58,52.66666667,C,none,6.8,self-funded,yes
female,group C,associate's degree,71,77,77,75,B,none,6.2,self-funded,yes
female,group B,master's degree,52,70,62,61.33333333,C,multiple,5.6,self-funded,yes
female,group D,some high school,97,100,100,99,A,multiple,5.3,self-funded,yes
male,group C,master's degree,62,68,75,68.33333333,C,volunteering,8.8,scholarship,yes
female,group C,some college,46,64,66,58.66666667,C,arts,5.4,family-sponsored,no
female,group E,high school,50,50,47,49,F,none,8.8,self-funded,no
female,group D,associate's degree,65,69,70,68,C,none,5.1,scholarship,no
male,group C,some high school,45,52,49,48.66666667,F,none,8.4,scholarship,yes
male,group C,associate's degree,65,67,65,65.66666667,C,none,5.4,self-funded,yes
male,group E,high school,80,76,65,73.66666667,C,multiple,5,government-funded,no
male,group D,some high school,62,66,68,65.33333333,C,arts,6.6,self-funded,yes
male,group B,some high school,48,52,45,48.33333333,F,multiple,5,scholarship,no
female,group C,bachelor's degree,77,88,87,84,B,none,8.4,scholarship,no
female,group E,associate's degree,66,65,69,66.66666667,C,sports,8.2,scholarship,no
male,group D,some college,76,83,79,79.33333333,B,sports,6.7,family-sponsored,yes
female,group B,some high school,62,64,66,64,C,multiple,8,government-funded,no
male,group D,some college,77,62,62,67,C,multiple,8.6,government-funded,yes
female,group C,master's degree,69,84,85,79.33333333,B,arts,8.8,scholarship,yes
male,group D,associate's degree,61,55,52,56,C,multiple,5.2,self-funded,no
male,group C,some high school,59,69,65,64.33333333,C,volunteering,7.2,government-funded,yes
male,group E,high school,55,56,51,54,C,multiple,7.2,family-sponsored,no
female,group B,some college,45,53,55,51,C,sports,5.8,self-funded,no
female,group B,bachelor's degree,78,79,76,77.66666667,B,sports,6.6,scholarship,no
female,group C,associate's degree,67,84,86,79,B,none,7.1,family-sponsored,yes
female,group D,some college,65,81,77,74.33333333,C,none,8.6,government-funded,no
male,group C,associate's degree,69,77,69,71.66666667,C,volunteering,7.6,scholarship,no
female,group B,associate's degree,57,69,68,64.66666667,C,sports,5.9,government-funded,no
male,group C,some college,59,41,42,47.33333333,F,sports,7.4,government-funded,no
male,group D,some high school,74,71,78,74.33333333,C,none,7.3,self-funded,yes
male,group E,bachelor's degree,82,62,62,68.66666667,C,none,6.3,government-funded,no
male,group E,high school,81,80,76,79,B,volunteering,9,family-sponsored,yes
female,group B,some college,74,81,76,77,B,arts,6.2,self-funded,no
female,group B,some college,58,61,66,61.66666667,C,arts,8.5,self-funded,no
male,group D,some high school,80,79,79,79.33333333,B,arts,8.4,self-funded,yes
male,group C,some college,35,28,27,30,F,none,6.8,family-sponsored,no
female,group C,high school,42,62,60,54.66666667,C,multiple,5.5,government-funded,no
male,group C,associate's degree,60,51,56,55.66666667,C,arts,8.6,self-funded,yes
male,group E,high school,87,91,81,86.33333333,B,arts,7.3,self-funded,yes
male,group B,some high school,84,83,75,80.66666667,B,volunteering,5.4,family-sponsored,yes
female,group E,associate's degree,83,86,88,85.66666667,B,volunteering,7.4,self-funded,yes
female,group C,high school,34,42,39,38.33333333,F,volunteering,5.8,scholarship,no
male,group B,high school,66,77,70,71,C,arts,8,scholarship,no
male,group B,some high school,61,56,56,57.66666667,C,volunteering,6.6,government-funded,yes
female,group D,high school,56,68,74,66,C,volunteering,5.2,government-funded,yes
male,group B,associate's degree,87,85,73,81.66666667,B,sports,8.1,scholarship,no
female,group C,some high school,55,65,62,60.66666667,C,sports,6.3,family-sponsored,no
male,group D,some high school,86,80,75,80.33333333,B,none,5.1,scholarship,no
female,group B,associate's degree,52,66,73,63.66666667,C,volunteering,7.4,self-funded,yes
female,group E,master's degree,45,56,54,51.66666667,C,sports,8.7,self-funded,no
female,group C,some college,72,72,71,71.66666667,C,none,8.7,government-funded,no
male,group D,high school,57,50,54,53.66666667,C,arts,8.5,scholarship,no
male,group A,some high school,68,72,64,68,C,none,8.1,self-funded,no
female,group C,some college,88,95,94,92.33333333,A,multiple,7.7,family-sponsored,yes
male,group D,some college,76,64,66,68.66666667,C,volunteering,6.1,government-funded,no
male,group C,associate's degree,46,43,42,43.66666667,F,sports,6.5,family-sponsored,no
female,group B,bachelor's degree,67,86,83,78.66666667,B,arts,7.7,scholarship,no
male,group E,some high school,92,87,78,85.66666667,B,none,5.5,family-sponsored,no
male,group C,bachelor's degree,83,82,84,83,B,multiple,5.9,self-funded,yes
male,group D,associate's degree,80,75,77,77.33333333,B,arts,5,scholarship,no
male,group D,bachelor's degree,63,66,67,65.33333333,C,sports,5.9,family-sponsored,no
female,group D,some high school,64,60,74,66,C,arts,9,family-sponsored,yes
male,group B,some college,54,52,51,52.33333333,C,volunteering,6.6,government-funded,no
male,group C,associate's degree,84,80,80,81.33333333,B,none,8.5,scholarship,no
male,group D,high school,73,68,66,69,C,arts,8.5,self-funded,yes
female,group E,bachelor's degree,80,83,83,82,B,sports,7.9,family-sponsored,no
female,group D,high school,56,52,55,54.33333333,C,volunteering,6.6,family-sponsored,no
male,group E,some college,59,51,43,51,C,multiple,6.8,government-funded,no
male,group D,some high school,75,74,69,72.66666667,C,sports,7.7,self-funded,no
male,group C,associate's degree,85,76,71,77.33333333,B,multiple,5.1,self-funded,no
male,group E,associate's degree,89,76,74,79.66666667,B,sports,7.3,family-sponsored,no
female,group B,high school,58,70,68,65.33333333,C,volunteering,7.1,family-sponsored,yes
female,group B,high school,65,64,62,63.66666667,C,multiple,5.2,scholarship,no
male,group C,high school,68,60,53,60.33333333,C,sports,5.8,scholarship,no
male,group A,some high school,47,49,49,48.33333333,F,volunteering,5.7,scholarship,yes
female,group D,some college,71,83,83,79,B,none,7.5,family-sponsored,no
female,group B,some high school,60,70,70,66.66666667,C,sports,6.8,government-funded,yes
male,group D,master's degree,80,80,72,77.33333333,B,volunteering,5,scholarship,no
male,group D,high school,54,52,52,52.66666667,C,arts,5.6,family-sponsored,no
female,group E,some college,62,73,70,68.33333333,C,arts,5.2,scholarship,no
female,group C,associate's degree,64,73,68,68.33333333,C,none,7.2,scholarship,no
male,group C,associate's degree,78,77,77,77.33333333,B,arts,6.7,government-funded,yes
female,group B,some college,70,75,78,74.33333333,C,volunteering,7.9,scholarship,no
female,group C,master's degree,65,81,81,75.66666667,B,volunteering,8.8,family-sponsored,yes
female,group C,some high school,64,79,77,73.33333333,C,none,8.2,scholarship,yes
male,group C,some college,79,79,78,78.66666667,B,volunteering,6.1,family-sponsored,yes
female,group C,some high school,44,50,51,48.33333333,F,arts,5.2,self-funded,no
female,group E,high school,99,93,90,94,A,sports,6.8,government-funded,no
male,group D,high school,76,73,68,72.33333333,C,none,6.8,government-funded,no
male,group D,some high school,59,42,41,47.33333333,F,sports,7.5,government-funded,no
female,group C,bachelor's degree,63,75,81,73,C,arts,9,self-funded,no
female,group D,high school,69,72,77,72.66666667,C,arts,8,self-funded,no
female,group D,associate's degree,88,92,95,91.66666667,A,multiple,8.7,family-sponsored,yes
female,group E,some college,71,76,70,72.33333333,C,arts,6.3,self-funded,no
male,group C,bachelor's degree,69,63,61,64.33333333,C,arts,5.4,self-funded,no
male,group C,some college,58,49,42,49.66666667,F,multiple,5.6,family-sponsored,no
female,group D,associate's degree,47,53,58,52.66666667,C,multiple,8.4,government-funded,no
female,group D,some college,65,70,71,68.66666667,C,arts,9,family-sponsored,no
male,group B,some college,88,85,76,83,B,volunteering,6.3,government-funded,yes
male,group C,bachelor's degree,83,78,73,78,B,none,7,government-funded,no
female,group C,some high school,85,92,93,90,A,volunteering,8.6,government-funded,yes
female,group E,high school,59,63,75,65.66666667,C,none,5.9,government-funded,yes
female,group C,some high school,65,86,80,77,B,multiple,7.5,family-sponsored,no
male,group B,bachelor's degree,73,56,57,62,C,arts,5.2,self-funded,no
male,group D,high school,53,52,42,49,F,none,6.2,scholarship,no
male,group D,high school,45,48,46,46.33333333,F,volunteering,7.9,family-sponsored,no
female,group D,bachelor's degree,73,79,84,78.66666667,B,none,8.6,government-funded,no
female,group D,some college,70,78,78,75.33333333,B,sports,5.6,scholarship,yes
female,group B,some high school,37,46,46,43,F,none,7.1,family-sponsored,no
male,group B,associate's degree,81,82,82,81.66666667,B,none,5.4,self-funded,yes
male,group E,associate's degree,97,82,88,89,B,sports,7.9,family-sponsored,yes
female,group B,some high school,67,89,82,79.33333333,B,multiple,8,scholarship,no
male,group B,bachelor's degree,88,75,76,79.66666667,B,arts,8.3,family-sponsored,no
male,group E,some high school,77,76,77,76.66666667,B,none,6.3,government-funded,yes
male,group C,associate's degree,76,70,68,71.33333333,C,none,8.4,self-funded,no
male,group D,some high school,86,73,70,76.33333333,B,volunteering,5.4,scholarship,no
male,group C,some high school,63,60,57,60,C,volunteering,8.7,scholarship,yes
female,group E,bachelor's degree,65,73,75,71,C,multiple,7.2,government-funded,no
male,group D,high school,78,77,80,78.33333333,B,volunteering,6.4,family-sponsored,yes
male,group B,associate's degree,67,62,60,63,C,none,6.7,self-funded,no
male,group A,some high school,46,41,43,43.33333333,F,arts,7.8,scholarship,yes
male,group E,associate's degree,71,74,68,71,C,multiple,5.3,scholarship,yes
male,group C,high school,40,46,50,45.33333333,F,sports,8.1,self-funded,yes
male,group D,associate's degree,90,87,75,84,B,volunteering,6.8,self-funded,no
male,group A,some college,81,78,81,80,B,volunteering,7.2,family-sponsored,yes
male,group D,some high school,56,54,52,54,C,volunteering,6.8,family-sponsored,no
female,group C,associate's degree,67,84,81,77.33333333,B,volunteering,7.7,family-sponsored,yes
male,group B,associate's degree,80,76,64,73.33333333,C,multiple,8.6,scholarship,no
female,group C,associate's degree,74,75,83,77.33333333,B,arts,8.4,government-funded,yes
male,group A,some college,69,67,69,68.33333333,C,volunteering,8.1,self-funded,no
male,group E,some college,99,87,81,89,B,sports,5.4,government-funded,yes
male,group C,some high school,51,52,44,49,F,sports,8.3,family-sponsored,no
female,group B,associate's degree,53,71,67,63.66666667,C,arts,5,family-sponsored,no
female,group D,high school,49,57,52,52.66666667,C,arts,8.1,scholarship,no
female,group B,associate's degree,73,76,80,76.33333333,B,arts,5.7,scholarship,no
male,group B,bachelor's degree,66,60,57,61,C,volunteering,6.9,self-funded,no
male,group D,bachelor's degree,67,61,68,65.33333333,C,multiple,5.4,self-funded,yes
female,group C,associate's degree,68,67,69,68,C,volunteering,5.3,government-funded,yes
female,group C,bachelor's degree,59,64,75,66,C,sports,6.3,government-funded,yes
male,group C,high school,71,66,65,67.33333333,C,multiple,7.9,scholarship,no
female,group D,master's degree,77,82,91,83.33333333,B,none,8,family-sponsored,yes
male,group C,associate's degree,83,72,78,77.66666667,B,multiple,7.4,scholarship,no
male,group B,bachelor's degree,63,71,69,67.66666667,C,multiple,5.9,government-funded,no
female,group D,associate's degree,56,65,63,61.33333333,C,multiple,8.9,scholarship,no
female,group C,high school,67,79,84,76.66666667,B,sports,8.1,scholarship,yes
female,group E,high school,75,86,79,80,B,sports,7.8,family-sponsored,no
female,group C,some college,71,81,80,77.33333333,B,none,5.5,self-funded,no
female,group C,some high school,43,53,53,49.66666667,F,arts,7.3,family-sponsored,no
female,group C,high school,41,46,43,43.33333333,F,arts,8.4,government-funded,no
female,group C,some college,82,90,94,88.66666667,B,multiple,7.4,self-funded,no
male,group C,some college,61,61,62,61.33333333,C,arts,6.3,self-funded,no
male,group A,some college,28,23,19,23.33333333,F,sports,7.3,family-sponsored,no
male,group C,associate's degree,82,75,77,78,B,arts,7.5,family-sponsored,yes
female,group B,some high school,41,55,51,49,F,sports,5,self-funded,no
male,group C,high school,71,60,61,64,C,arts,6.7,scholarship,no
male,group C,associate's degree,47,37,35,39.66666667,F,multiple,5,self-funded,no
male,group E,associate's degree,62,56,53,57,C,multiple,5.1,self-funded,yes
male,group B,associate's degree,90,78,81,83,B,sports,8.1,family-sponsored,no
female,group C,bachelor's degree,83,93,95,90.33333333,A,arts,7.2,scholarship,no
female,group B,some college,61,68,66,65,C,arts,6.4,government-funded,no
male,group D,some high school,76,70,69,71.66666667,C,volunteering,6.3,scholarship,yes
male,group C,associate's degree,49,51,43,47.66666667,F,none,8.3,self-funded,no
female,group B,some high school,24,38,27,29.66666667,F,arts,7.1,scholarship,no
female,group D,some high school,35,55,60,50,C,volunteering,6.1,scholarship,yes
male,group C,high school,58,61,52,57,C,multiple,7.9,family-sponsored,no
female,group C,high school,61,73,63,65.66666667,C,sports,5.8,self-funded,no
female,group B,high school,69,76,74,73,C,none,8.8,family-sponsored,yes
male,group D,associate's degree,67,72,67,68.66666667,C,none,7.9,government-funded,yes
male,group D,some college,79,73,67,73,C,multiple,8.4,government-funded,no
female,group C,high school,72,80,75,75.66666667,B,volunteering,5.1,scholarship,no
male,group B,some college,62,61,57,60,C,sports,8.8,government-funded,no
female,group C,bachelor's degree,77,94,95,88.66666667,B,multiple,6.8,family-sponsored,yes
male,group D,high school,75,74,66,71.66666667,C,multiple,7.3,scholarship,no
male,group E,associate's degree,87,74,76,79,B,sports,5,family-sponsored,no
female,group B,bachelor's degree,52,65,69,62,C,none,6.3,government-funded,no
male,group E,some college,66,57,52,58.33333333,C,volunteering,8.4,scholarship,no
female,group C,some college,63,78,80,73.66666667,C,multiple,5,self-funded,yes
female,group C,associate's degree,46,58,57,53.66666667,C,none,5.5,family-sponsored,no
female,group C,some college,59,71,70,66.66666667,C,sports,6.7,self-funded,no
female,group B,bachelor's degree,61,72,70,67.66666667,C,volunteering,7.3,government-funded,no
male,group A,associate's degree,63,61,61,61.66666667,C,volunteering,7.2,government-funded,no
female,group C,some college,42,66,69,59,C,multiple,8.8,self-funded,yes
male,group D,some college,59,62,61,60.66666667,C,none,7,government-funded,no
female,group D,some college,80,90,89,86.33333333,B,volunteering,5.4,family-sponsored,no
female,group B,high school,58,62,59,59.66666667,C,multiple,5.8,self-funded,no
male,group B,some high school,85,84,78,82.33333333,B,arts,6.1,family-sponsored,yes
female,group C,some college,52,58,58,56,C,multiple,9,self-funded,no
female,group D,some high school,27,34,32,31,F,sports,7.7,self-funded,no
male,group C,some college,59,60,58,59,C,sports,7.5,scholarship,no
male,group A,bachelor's degree,49,58,60,55.66666667,C,sports,8.5,scholarship,yes
male,group C,high school,69,58,53,60,C,multiple,5.3,government-funded,yes
male,group C,bachelor's degree,61,66,61,62.66666667,C,multiple,7.5,family-sponsored,no
female,group A,some high school,44,64,58,55.33333333,C,none,5.8,self-funded,no
female,group D,some high school,73,84,85,80.66666667,B,volunteering,8.2,family-sponsored,no
male,group E,some college,84,77,71,77.33333333,B,volunteering,8.3,scholarship,no
