gender,age,parental level of education,math score,reading score,writing score,extracurricular activities,IELTS,financial sponsorship,visa eligible
female,19.0,some high school,80.0,92.0,88.0,multiple,5.0,family-sponsored,yes
female,22.0,associate's degree,100.0,100.0,100.0,sports,7.0,self-funded,no
male,19.0,bachelor's degree,62.0,72.0,65.0,arts,5.2,scholarship,no
female,20.0,bachelor's degree,92.0,100.0,99.0,none,6.3,self-funded,yes
female,21.98406073666693,bachelor's degree,64.95901893923335,81.16555007330771,80.81684153547421,arts,7.207418249885841,scholarship,yes
female,20.971749960343704,bachelor's degree,96.08352922789531,100.02553732000777,100.42905145444772,arts,6.512251515637408,scholarship,yes
male,23.0,high school,59.0,52.0,46.0,arts,8.4,government-funded,no
male,19.0,high school,64.0,64.0,67.0,sports,5.0,family-sponsored,yes
female,23.0,high school,60.0,64.0,74.0,multiple,7.6,family-sponsored,yes
male,23.0,some college,63.0,55.0,63.0,sports,8.4,self-funded,yes
female,22.0,some college,69.0,74.0,74.0,arts,6.8,family-sponsored,no
female,24.0,some college,76.0,83.0,88.0,none,8.8,scholarship,no
male,24.952907719685328,master's degree,63.156312464621216,60.13297926553878,57.12345646213396,volunteering,8.716804830353482,scholarship,yes
male,24.0,high school,60.0,44.0,47.0,arts,7.9,family-sponsored,yes
female,23.0,associate's degree,39.0,64.0,57.0,sports,7.9,self-funded,no
female,22.984342375979672,high school,77.34321944366823,88.0001541456416,85.29299896557288,volunteering,8.313668670163866,government-funded,yes
male,19.0,some high school,39.0,39.0,34.0,none,5.6,government-funded,no
female,20.0,associate's degree,73.0,76.0,80.0,arts,5.7,scholarship,no
female,21.0,high school,58.0,70.0,68.0,volunteering,7.1,family-sponsored,yes
male,25.0,high school,69.0,75.0,71.0,arts,8.6,family-sponsored,no
male,20.0,high school,53.0,58.0,44.0,volunteering,6.0,self-funded,no
female,19.0,some high school,48.0,58.0,52.0,arts,5.0,government-funded,no
male,21.95472344907985,associate's degree,90.94876164388897,73.33803454065473,80.25796192674464,arts,6.5062614028442995,government-funded,yes
male,22.031114383612373,bachelor's degree,65.20348449789294,77.1119360565937,74.02417854390926,multiple,7.021966639291571,scholarship,yes
female,24.0,high school,76.0,76.0,74.0,arts,8.7,self-funded,no
female,19.0,some high school,70.0,64.0,72.0,multiple,5.0,self-funded,no
female,21.0,some high school,24.0,38.0,27.0,arts,7.1,scholarship,no
male,19.0,associate's degree,61.0,42.0,41.0,none,5.8,family-sponsored,no
female,21.99472668448563,associate's degree,82.8403586091906,85.60743976894958,87.8158744293916,volunteering,7.396701880390371,self-funded,yes
female,20.0,associate's degree,57.0,78.0,67.0,volunteering,5.7,scholarship,no
male,22.0,high school,59.0,53.0,52.0,volunteering,7.0,government-funded,no
female,22.925257742996045,associate's degree,75.05422008601643,90.00414536343996,87.71871589083236,multiple,8.073015848974437,self-funded,yes
female,24.0,some high school,73.0,84.0,85.0,volunteering,8.2,family-sponsored,no
male,21.0,master's degree,61.0,67.0,66.0,volunteering,6.7,scholarship,no
female,20.0,high school,72.0,80.0,83.0,volunteering,5.6,self-funded,no
male,21.0,associate's degree,62.0,65.0,58.0,multiple,7.1,self-funded,no
male,21.0,some college,28.0,23.0,19.0,sports,7.3,family-sponsored,no
female,24.0,some college,49.0,65.0,55.0,volunteering,8.0,scholarship,no
female,24.0,associate's degree,68.0,76.0,67.0,arts,7.5,scholarship,no
female,22.0,associate's degree,58.0,73.0,68.0,sports,6.5,self-funded,no
female,21.0,associate's degree,96.0,96.0,99.0,multiple,7.4,self-funded,yes
male,18.987060821080842,some college,50.913532369775766,54.136072757518384,41.62955756649434,arts,5.8951349471574,self-funded,yes
female,22.0,some college,64.0,82.0,77.0,multiple,6.5,government-funded,yes
female,25.0,some college,51.0,58.0,54.0,volunteering,8.6,self-funded,no
male,19.926238956317434,master's degree,79.11605397567428,76.8040990604136,74.70880750420957,none,5.59694309957861,government-funded,yes
female,19.0,high school,67.0,80.0,81.0,multiple,6.1,family-sponsored,yes
male,22.0,associate's degree,61.0,48.0,46.0,volunteering,6.9,government-funded,no
female,19.0,high school,35.0,53.0,46.0,none,5.3,family-sponsored,no
female,23.051223748269802,some high school,40.53273478127621,65.32704068569787,63.62474545845864,arts,8.450213938935065,scholarship,yes
male,19.0,bachelor's degree,50.0,42.0,48.0,none,5.1,government-funded,no
female,24.0,associate's degree,94.0,87.0,92.0,volunteering,8.3,family-sponsored,yes
female,19.0,associate's degree,73.0,75.0,80.0,none,5.0,family-sponsored,yes
male,19.0,bachelor's degree,86.0,83.0,86.0,arts,6.4,scholarship,no
female,24.0,associate's degree,73.0,83.0,76.0,volunteering,7.7,self-funded,no
male,19.0,some college,71.0,75.0,70.0,arts,5.4,family-sponsored,yes
male,19.0,some college,79.0,79.0,78.0,volunteering,6.1,family-sponsored,yes
male,21.0,high school,76.0,62.0,60.0,sports,6.7,government-funded,yes
male,24.0,some college,47.0,43.0,41.0,arts,7.7,government-funded,no
male,20.0,some college,63.0,61.0,60.0,arts,6.3,scholarship,no
male,24.979557900093997,high school,72.61613647250346,67.99361561286555,66.00575458841931,arts,8.499700191946156,self-funded,yes
female,19.06128728257304,master's degree,76.78952610462291,97.51381736181244,94.1298508052404,multiple,5.83255202765959,scholarship,yes
female,22.0,some high school,48.0,66.0,65.0,volunteering,7.1,family-sponsored,no
female,23.0,bachelor's degree,59.0,70.0,73.0,volunteering,8.4,self-funded,no
female,19.0,some college,80.0,90.0,89.0,volunteering,5.4,family-sponsored,no
male,19.0,some high school,89.0,84.0,77.0,sports,5.3,scholarship,yes
female,21.0,some college,98.0,100.0,99.0,arts,6.5,self-funded,no
female,24.0,some college,69.0,65.0,74.0,arts,7.8,family-sponsored,no
male,22.0,associate's degree,63.0,61.0,61.0,volunteering,7.2,government-funded,no
female,22.0,associate's degree,47.0,49.0,50.0,volunteering,7.4,self-funded,no
female,19.0,some college,70.0,78.0,78.0,sports,5.6,scholarship,yes
male,24.037828262671738,high school,54.85694504155619,41.08234107073159,47.88979034663443,none,8.739127668398565,self-funded,yes
female,24.92661346012807,associate's degree,88.2184580320518,92.4070131177062,94.73893351813452,arts,8.705724686721403,family-sponsored,yes
male,19.01925807161719,some college,61.10423339953019,69.99161941707898,76.06430926807258,multiple,5.375482093106608,government-funded,yes
male,23.046741189451534,some college,87.01039949526518,83.82904010158173,86.19414844649339,sports,7.711341481828122,self-funded,yes
male,18.98434393346444,associate's degree,70.91090811315154,73.93418081434005,68.03175883798416,multiple,5.318349740636354,scholarship,yes
male,19.0,some college,77.0,62.0,64.0,none,6.3,government-funded,no
female,25.0,associate's degree,62.0,76.0,80.0,none,9.0,family-sponsored,yes
female,23.0,high school,81.0,84.0,82.0,sports,8.4,self-funded,no
female,21.0,some college,60.0,72.0,74.0,sports,7.3,scholarship,no
female,22.0,high school,50.0,66.0,64.0,multiple,6.5,self-funded,yes
male,21.0,high school,79.0,60.0,65.0,multiple,6.8,family-sponsored,no
female,22.0,associate's degree,53.0,61.0,62.0,arts,6.9,self-funded,no
female,21.0,some college,55.0,69.0,65.0,arts,7.3,family-sponsored,no
male,19.0,associate's degree,61.0,55.0,52.0,multiple,5.2,self-funded,no
female,21.06046154671394,bachelor's degree,95.97506506612133,100.5422111619866,99.50400147880929,arts,6.491479932775219,government-funded,yes
male,22.0,associate's degree,90.0,87.0,85.0,multiple,7.4,scholarship,no
male,24.0,some college,54.0,54.0,45.0,arts,8.9,family-sponsored,no
male,24.067719789093136,bachelor's degree,62.81787049757052,64.48203593853046,66.09369390073797,volunteering,8.798158337076535,family-sponsored,yes
male,20.0,some college,80.0,64.0,66.0,arts,6.3,family-sponsored,no
female,23.0,high school,39.0,52.0,46.0,none,7.7,government-funded,no
female,24.021391808159784,associate's degree,94.21885998945322,86.56064734566591,92.61531680127737,multiple,8.332800994540413,family-sponsored,yes
male,24.0,associate's degree,69.0,77.0,69.0,volunteering,7.6,scholarship,no
female,24.0,associate's degree,81.0,77.0,79.0,volunteering,8.8,family-sponsored,no
female,19.0,associate's degree,46.0,56.0,57.0,none,5.8,government-funded,no
male,22.0,some high school,56.0,54.0,52.0,volunteering,6.8,family-sponsored,no
female,23.0,associate's degree,83.0,85.0,90.0,sports,7.7,government-funded,yes
male,23.938956839457113,some college,66.76903815764773,74.02960893855044,70.3118713594269,none,8.71396266724247,government-funded,yes
female,22.0,associate's degree,82.0,95.0,89.0,none,6.6,scholarship,no
male,24.0,some high school,84.0,84.0,80.0,multiple,7.7,scholarship,no
female,21.05785826395626,some college,69.94066889996797,71.8430743410408,75.73650748001297,multiple,6.568549759653277,self-funded,yes
female,19.0,some college,45.0,73.0,70.0,none,6.2,self-funded,yes
male,20.992453681183473,some high school,74.7794986144647,70.79533963291182,77.93785216859082,none,7.341269678147843,self-funded,yes
female,20.0,some high school,50.0,64.0,59.0,none,6.3,government-funded,no
male,20.0,some high school,65.0,59.0,53.0,none,6.2,scholarship,no
female,19.0,high school,56.0,68.0,74.0,volunteering,5.2,government-funded,yes
male,22.0,associate's degree,55.0,61.0,54.0,multiple,6.8,family-sponsored,no
female,21.0,master's degree,40.0,59.0,54.0,none,6.5,family-sponsored,no
female,22.086482688416012,associate's degree,57.03572877975665,77.72745916278886,79.12307093724549,arts,6.7063582210580535,scholarship,yes
male,20.0,associate's degree,67.0,57.0,53.0,multiple,6.0,family-sponsored,no
female,23.964728426409827,some college,74.81132001396394,88.2990430019901,84.7751634842398,none,8.688191576449954,scholarship,yes
female,20.0,some college,79.0,86.0,92.0,sports,6.1,self-funded,no
female,18.971905777608676,some college,87.95283392136811,94.95363512903475,92.36315910358135,volunteering,6.325848644383563,family-sponsored,yes
male,20.0,some college,72.0,57.0,58.0,arts,6.0,government-funded,no
female,22.972714448078868,associate's degree,75.38912223825793,89.9281969349474,88.09651921971255,multiple,8.121477614018357,self-funded,yes
female,22.0,some high school,47.0,59.0,50.0,arts,6.7,government-funded,no
male,24.0,associate's degree,65.0,65.0,63.0,sports,8.9,self-funded,yes
female,19.0,associate's degree,85.0,89.0,95.0,none,5.9,scholarship,no
male,23.0,some college,69.0,60.0,63.0,none,7.6,family-sponsored,yes
male,25.0,associate's degree,61.0,71.0,73.0,multiple,8.5,self-funded,yes
male,21.0,some high school,62.0,64.0,55.0,sports,7.4,self-funded,no
male,24.0,some high school,45.0,37.0,37.0,multiple,8.3,self-funded,no
female,23.0,some college,79.0,86.0,81.0,multiple,8.3,self-funded,no
male,21.0,some college,59.0,51.0,43.0,multiple,6.8,government-funded,no
female,19.0,bachelor's degree,89.0,100.0,100.0,sports,6.4,family-sponsored,no
female,21.0,associate's degree,59.0,70.0,65.0,multiple,7.1,scholarship,no
male,23.0,associate's degree,91.0,89.0,92.0,volunteering,8.2,family-sponsored,yes
male,23.0,some college,84.0,87.0,81.0,multiple,7.5,government-funded,no
female,22.0,bachelor's degree,92.0,100.0,100.0,arts,7.4,scholarship,yes
male,22.98502049862583,associate's degree,79.696792231569,81.74069031270207,81.85312731929952,arts,7.739834958752468,scholarship,yes
female,24.0,associate's degree,77.0,89.0,98.0,volunteering,8.6,family-sponsored,yes
male,19.0,some college,49.0,57.0,46.0,none,5.3,self-funded,no
male,19.0,some college,60.0,60.0,60.0,volunteering,5.0,scholarship,no
female,20.0,some high school,44.0,64.0,58.0,none,5.8,self-funded,no
female,23.00250020817022,high school,72.84779215845184,77.92840364110535,75.7676254715416,arts,7.573805337149295,self-funded,yes
male,23.07076787768756,bachelor's degree,79.5799295079589,78.44440931256909,80.80351083535858,arts,8.031350697858546,self-funded,yes
female,21.0,bachelor's degree,96.0,100.0,100.0,arts,6.5,scholarship,yes
female,23.047995424699916,associate's degree,82.0412221790058,93.23436601363719,92.55191153917643,multiple,7.507398437428447,self-funded,yes
male,22.92171311032497,associate's degree,51.54569269885217,60.486632091678736,58.099302568077675,none,7.84146991552141,family-sponsored,yes
female,20.0,some college,48.0,56.0,58.0,arts,6.3,government-funded,yes
male,20.0,some high school,73.0,66.0,62.0,arts,6.1,family-sponsored,no
female,24.0,high school,76.0,85.0,82.0,none,8.2,scholarship,yes
female,19.0,bachelor's degree,44.0,63.0,62.0,multiple,5.0,self-funded,no
male,19.0,some college,74.0,77.0,76.0,sports,5.0,government-funded,yes
male,22.0,bachelor's degree,75.0,73.0,74.0,none,7.3,self-funded,no
female,19.0,some college,19.0,38.0,32.0,volunteering,6.2,self-funded,no
female,21.0,high school,99.0,93.0,90.0,sports,6.8,government-funded,no
male,23.046968599396024,high school,75.13925004220572,69.2104931242292,67.91346019646798,sports,8.126500548723643,family-sponsored,yes
male,20.0,associate's degree,66.0,63.0,64.0,arts,5.8,self-funded,yes
female,22.0,some college,82.0,90.0,94.0,multiple,7.4,self-funded,no
female,24.0,some college,63.0,73.0,71.0,volunteering,7.6,scholarship,yes
male,25.0,some high school,69.0,66.0,61.0,multiple,8.8,government-funded,no
male,25.0,some college,93.0,84.0,90.0,volunteering,9.0,scholarship,yes
male,19.0,bachelor's degree,69.0,63.0,61.0,arts,5.4,self-funded,no
female,22.0,some college,61.0,64.0,62.0,arts,7.0,scholarship,no
male,19.044857987490754,some high school,60.6931865353168,61.99263757970408,60.127857895016874,none,5.479198187820609,self-funded,yes
male,20.0,bachelor's degree,48.0,51.0,46.0,arts,6.1,scholarship,no
male,24.0,some college,88.0,77.0,77.0,multiple,7.6,government-funded,no
male,21.0,some high school,49.0,49.0,41.0,volunteering,7.1,scholarship,no
male,20.014278397712353,some college,69.11829536010418,76.59290085080364,77.11656096534327,sports,5.606511678592994,scholarship,yes
male,24.0,associate's degree,64.0,56.0,52.0,volunteering,8.8,family-sponsored,no
male,23.0,associate's degree,46.0,43.0,41.0,arts,7.5,government-funded,no
male,21.0,some high school,30.0,26.0,22.0,none,6.7,government-funded,no
female,24.0,bachelor's degree,47.0,62.0,66.0,volunteering,8.8,self-funded,yes
male,20.0,high school,54.0,52.0,52.0,arts,5.6,family-sponsored,no
male,24.0,master's degree,49.0,53.0,52.0,multiple,8.1,family-sponsored,no
male,19.0,high school,48.0,45.0,41.0,none,5.4,self-funded,no
male,24.0,some high school,65.0,66.0,62.0,none,8.5,government-funded,yes
female,24.0,high school,51.0,66.0,62.0,none,8.4,scholarship,no
male,24.0,some high school,45.0,52.0,49.0,none,8.4,scholarship,yes
male,21.0,some college,61.0,51.0,52.0,multiple,6.8,government-funded,yes
male,24.055858923030282,some college,60.419026520200696,61.800066643382266,60.01869505878756,multiple,7.883283108128021,government-funded,yes
male,22.0,high school,84.0,73.0,69.0,sports,6.6,government-funded,no
female,19.0,high school,74.0,72.0,72.0,sports,5.0,self-funded,no
male,19.0,high school,57.0,51.0,54.0,arts,6.2,government-funded,no
female,24.0,high school,52.0,57.0,56.0,arts,7.7,government-funded,yes
male,22.991100358040903,some college,86.71628698488477,74.06826118854381,70.05815001155392,sports,8.371505478564327,government-funded,yes
male,21.0,some high school,74.0,71.0,78.0,none,7.3,self-funded,yes
female,24.0,bachelor's degree,45.0,59.0,64.0,none,7.6,government-funded,no
female,25.0,master's degree,69.0,84.0,85.0,arts,8.8,scholarship,yes
female,24.0,some college,52.0,59.0,65.0,none,8.4,self-funded,yes
male,21.0,bachelor's degree,88.0,78.0,83.0,none,7.1,scholarship,no
male,25.0,bachelor's degree,70.0,75.0,74.0,sports,8.7,self-funded,yes
female,23.0,bachelor's degree,97.0,97.0,96.0,arts,8.4,scholarship,no
male,21.0,some college,76.0,83.0,79.0,sports,6.7,family-sponsored,yes
female,24.0,master's degree,73.0,78.0,74.0,sports,7.5,scholarship,no
male,20.0,some high school,63.0,67.0,67.0,arts,6.4,self-funded,yes
male,19.0,some high school,67.0,73.0,68.0,volunteering,6.3,self-funded,yes
male,24.0,master's degree,72.0,66.0,72.0,volunteering,8.3,government-funded,yes
female,19.0,associate's degree,77.0,77.0,73.0,multiple,5.9,government-funded,no
female,19.0,some high school,44.0,51.0,55.0,arts,5.1,self-funded,yes
female,18.99185510184145,some college,63.24869817924986,80.3957548847681,80.2398026445419,volunteering,6.448025153247906,self-funded,yes
female,25.0,high school,69.0,77.0,78.0,arts,8.8,government-funded,yes
male,24.0,some high school,59.0,42.0,41.0,sports,7.5,government-funded,no
female,19.0,some high school,92.0,100.0,97.0,none,5.8,government-funded,yes
male,19.0,bachelor's degree,66.0,64.0,62.0,volunteering,5.6,family-sponsored,no
female,23.0,some college,88.0,93.0,93.0,volunteering,8.1,government-funded,yes
female,23.0,high school,77.0,82.0,89.0,arts,7.7,scholarship,yes
female,20.0,some college,49.0,58.0,60.0,sports,5.9,family-sponsored,no
male,20.0,some college,61.0,61.0,62.0,arts,6.3,self-funded,no
male,22.0,some college,65.0,77.0,74.0,multiple,7.0,scholarship,yes
female,19.0,associate's degree,95.0,89.0,92.0,volunteering,6.3,family-sponsored,yes
male,19.0,some high school,86.0,80.0,75.0,none,5.1,scholarship,no
female,24.0,associate's degree,65.0,84.0,84.0,multiple,8.3,scholarship,yes
female,20.0,some high school,81.0,97.0,96.0,none,5.5,family-sponsored,no
male,19.0,high school,81.0,66.0,64.0,arts,6.1,self-funded,no
male,20.956593293688552,high school,72.12532938018106,66.93622736701627,64.59723851573969,sports,6.4956922013610185,self-funded,yes
female,23.0,high school,74.0,81.0,71.0,arts,8.4,scholarship,no
male,23.0,some college,49.0,52.0,51.0,volunteering,8.2,family-sponsored,yes
female,22.0,some college,84.0,87.0,91.0,arts,6.5,scholarship,no
male,22.0,bachelor's degree,66.0,60.0,57.0,volunteering,6.9,self-funded,no
male,19.0,some college,65.0,58.0,49.0,none,5.6,scholarship,no
male,22.0,high school,70.0,56.0,51.0,volunteering,7.2,family-sponsored,no
male,21.0,high school,73.0,69.0,68.0,volunteering,6.7,self-funded,yes
female,22.0,master's degree,50.0,53.0,58.0,sports,6.9,scholarship,no
female,23.0,bachelor's degree,67.0,86.0,83.0,arts,7.7,scholarship,no
female,20.0,associate's degree,91.0,86.0,84.0,sports,5.9,self-funded,no
female,22.0,some college,68.0,78.0,77.0,sports,7.4,scholarship,yes
male,24.0,high school,68.0,64.0,66.0,none,7.6,government-funded,yes
male,19.0,master's degree,54.0,59.0,50.0,sports,5.4,family-sponsored,no
male,25.0,high school,73.0,71.0,68.0,sports,8.7,family-sponsored,yes
male,20.0,associate's degree,58.0,55.0,53.0,none,5.6,scholarship,no
male,24.0,some high school,68.0,54.0,53.0,volunteering,7.9,government-funded,no
female,20.0,associate's degree,62.0,74.0,70.0,volunteering,5.5,government-funded,no
male,23.0,high school,62.0,67.0,58.0,none,7.5,self-funded,no
female,20.0,high school,42.0,62.0,60.0,multiple,5.5,government-funded,no
female,19.0,high school,63.0,69.0,74.0,sports,5.0,self-funded,no
male,25.0,high school,63.0,48.0,47.0,volunteering,8.8,government-funded,no
female,23.0,high school,61.0,68.0,63.0,volunteering,7.8,government-funded,no
male,20.0,some high school,47.0,49.0,49.0,volunteering,5.7,scholarship,yes
female,19.0,some college,82.0,97.0,96.0,volunteering,5.3,self-funded,yes
male,22.0,associate's degree,89.0,76.0,74.0,sports,7.3,family-sponsored,no
female,22.0,some college,54.0,64.0,65.0,none,7.0,family-sponsored,no
female,18.93500753932864,associate's degree,56.75679847719733,67.94372678181252,73.01790872732924,none,5.003459352581326,government-funded,yes
male,21.038839882788917,some college,49.963204096672555,47.74456663841588,52.940683245426776,none,7.2965406948608065,scholarship,yes
male,25.0,bachelor's degree,74.0,79.0,75.0,volunteering,8.6,scholarship,yes
male,23.061746285429695,some high school,46.42265190884508,40.62270937833602,43.45485737418677,arts,7.830352586562869,scholarship,yes
male,24.0,some high school,64.0,53.0,57.0,multiple,7.9,scholarship,yes
male,24.0,some high school,51.0,56.0,53.0,volunteering,8.0,self-funded,yes
female,24.0,associate's degree,59.0,66.0,67.0,sports,7.5,family-sponsored,no
female,21.0,high school,36.0,53.0,43.0,sports,6.7,scholarship,no
female,23.0,bachelor's degree,56.0,79.0,72.0,none,7.6,family-sponsored,yes
female,23.979559873429125,associate's degree,93.84952661299539,87.00114875113294,92.25029958361546,volunteering,8.291189538340104,family-sponsored,yes
male,24.0,associate's degree,52.0,57.0,50.0,volunteering,8.5,government-funded,no
male,23.0,some high school,75.0,74.0,69.0,sports,7.7,self-funded,no
male,23.0,some college,91.0,96.0,91.0,none,7.6,family-sponsored,yes
male,23.034108592513277,associate's degree,91.13444471458298,89.35317381121239,92.14467903704225,volunteering,8.187664525892203,family-sponsored,yes
female,19.0,master's degree,52.0,70.0,62.0,multiple,5.6,self-funded,yes
male,23.0,some college,91.0,74.0,76.0,multiple,7.6,family-sponsored,no
male,19.0,some high school,64.0,58.0,51.0,volunteering,5.4,government-funded,no
male,24.0,high school,60.0,57.0,51.0,none,8.7,self-funded,no
female,22.0,some high school,72.0,81.0,79.0,multiple,6.5,scholarship,no
female,21.956971568852182,some high school,68.87561002093787,86.23982509851331,81.05173448631406,sports,6.922611730628565,scholarship,yes
male,19.0,associate's degree,73.0,78.0,72.0,none,5.7,government-funded,yes
male,23.0,associate's degree,72.0,79.0,74.0,arts,8.1,scholarship,no
female,24.0,some college,69.0,77.0,77.0,none,7.9,government-funded,no
male,20.93877628562362,high school,71.82104778300923,67.22770814515707,64.81678110541974,sports,6.495527123106325,self-funded,yes
female,23.9608775501344,associate's degree,67.26760376019017,78.16904668370688,79.726817519378,arts,8.253533730676086,scholarship,yes
male,19.0,some high school,61.0,62.0,61.0,none,5.5,self-funded,yes
male,23.0,high school,94.0,73.0,71.0,none,7.5,self-funded,no
female,21.0,some high school,48.0,56.0,51.0,none,7.3,government-funded,no
female,23.0,some college,79.0,84.0,91.0,volunteering,7.6,family-sponsored,yes
male,22.0,bachelor's degree,83.0,78.0,73.0,none,7.0,government-funded,no
female,19.002173738803883,some college,45.06109717287335,72.98823374392857,69.92049670806662,none,6.185130247476367,self-funded,yes
male,20.0,some college,69.0,77.0,77.0,multiple,5.6,scholarship,yes
male,23.048036993534275,bachelor's degree,80.21531969508494,77.98080148387437,80.85059062194718,arts,8.05660532674744,self-funded,yes
female,20.0,some college,100.0,92.0,97.0,sports,6.1,government-funded,no
female,25.0,associate's degree,51.0,51.0,54.0,volunteering,8.8,government-funded,no
female,21.975927225906343,associate's degree,74.79310706358436,82.41337451838466,89.83931418567774,arts,6.515435840957939,scholarship,yes
male,24.0,associate's degree,80.0,63.0,63.0,volunteering,8.5,family-sponsored,no
male,21.0,some college,81.0,74.0,71.0,volunteering,6.7,scholarship,yes
male,25.0,some college,83.0,80.0,73.0,multiple,8.8,scholarship,no
male,18.936706571341894,high school,56.65678160438457,56.528242715634256,54.20583839107675,multiple,5.201032964075066,self-funded,yes
female,19.0,some high school,65.0,82.0,81.0,none,5.3,family-sponsored,no
male,18.938207879087997,some college,60.719706659172715,71.33299641204347,77.97147577411202,sports,5.517374676988764,self-funded,yes
male,21.0,high school,45.0,47.0,49.0,sports,7.1,scholarship,no
female,21.0,associate's degree,67.0,84.0,86.0,none,7.1,family-sponsored,yes
male,20.0,associate's degree,43.0,45.0,50.0,volunteering,6.3,self-funded,yes
male,24.0,some high school,79.0,82.0,73.0,volunteering,7.8,family-sponsored,no
male,25.0,associate's degree,75.0,66.0,73.0,sports,9.0,scholarship,no
male,18.981740112187147,master's degree,67.94418492672239,50.41056747535423,57.023865142255374,sports,5.719714825170332,self-funded,yes
female,18.970564275495246,associate's degree,56.831881788090726,76.8378093471201,80.16910099636395,multiple,5.122520197932825,government-funded,yes
female,19.01242762064793,associate's degree,75.98015099387887,93.93188748038901,87.0449466344414,volunteering,5.320301098013855,scholarship,yes
female,19.0,high school,54.0,59.0,62.0,arts,6.0,scholarship,no
